Touchpad

Trial	D	W	ID	hits	errors	MT
1	400	80	2.58	15	2	0.67
2	200	80	1.58	19	2	0.53
3	100	80	1.0	30	0	0.33
4	200	40	2.58	18	0	0.56
5	100	40	1.58	18	3	0.56
6	50	40	1.0	28	1	0.36
7	100	20	2.58	16	2	0.63
8	50	20	1.58	16	5	0.63
9	25	20	1.0	26	4	0.38

Trial	D	W	ID	hits	errors	MT
1	400	80	2.58	15	3	0.67
2	200	80	1.58	20	1	0.5
3	100	80	1.0	30	0	0.33
4	200	40	2.58	15	2	0.67
5	100	40	1.58	24	1	0.42
6	50	40	1.0	30	1	0.33
7	100	20	2.58	16	1	0.63
8	50	20	1.58	14	6	0.71
9	25	20	1.0	23	5	0.43


Mouse
Trial	D	W	ID	hits	errors	MT
1	400	80	2.58	16	0	0.63
2	200	80	1.58	20	3	0.5
3	100	80	1.0	29	1	0.34
4	200	40	2.58	16	1	0.63
5	100	40	1.58	23	2	0.43
6	50	40	1.0	25	1	0.4
7	100	20	2.58	15	1	0.67
8	50	20	1.58	19	3	0.53
9	25	20	1.0	23	3	0.43


Tablet
Trial	D	W	ID	hits	errors	MT
1	400	80	2.58	11	2	0.91
2	200	80	1.58	20	4	0.5
3	100	80	1.0	27	2	0.37
4	200	40	2.58	17	1	0.59
5	100	40	1.58	31	1	0.32
6	50	40	1.0	25	7	0.4
7	100	20	2.58	16	4	0.63
8	50	20	1.58	23	6	0.43
9	25	20	1.0	20	9	0.5
